department,position,education_level,field_of_study,employees,avg_basic_salary,avg_total_compensation
"Marketing Department",Manager,"Bachelor's Degree","Data Analytics",31,8157.45,9695.84
"Product Management Department",Executive,"Bachelor's Degree","Information Technology",31,7882.06,9583.77
"Customer Support Department",Assistant,"Bachelor's Degree","Data Analytics",31,7529.87,9148.00
"Data and Analytics Department",Assistant,"Bachelor's Degree","Data Analytics",31,7565.16,9094.48
"Product Management Department",Developer,"Master's Degree",Engineering,31,6766.48,8538.52
"Human Resources Department",Executive,"Doctoral Degree","Business Administration",31,6704.19,8395.65
"Operations Department",Manager,Diploma,"Business Administration",30,10036.43,11709.17
"Data and Analytics Department",Consultant,"Bachelor's Degree",Economics,30,9470.03,11310.23
"Human Resources Department",Assistant,"Bachelor's Degree","Data Analytics",30,9566.93,11247.37
"Engineering Department",Assistant,"Bachelor's Degree","Data Analytics",30,9690.43,11223.50
"Human Resources Department",Executive,"Master's Degree","Computer Science",30,9564.40,11179.17
"Data and Analytics Department",Analyst,"Doctoral Degree","Business Administration",30,9642.60,11122.13
"Human Resources Department",Developer,"Bachelor's Degree","Data Analytics",30,9547.17,10942.67
"Marketing Department",Assistant,"Bachelor's Degree","Information Technology",30,9309.90,10925.63
"Marketing Department",Assistant,Diploma,"Business Administration",30,9354.87,10917.00
"Operations Department",Assistant,"Bachelor's Degree",Economics,30,9116.43,10829.27
"Engineering Department",Consultant,"Master's Degree",Economics,30,8959.90,10813.73
"Engineering Department",Manager,"Master's Degree","Information Technology",30,8989.70,10775.30
"Data and Analytics Department",Manager,"Master's Degree","Computer Science",30,8963.87,10687.70
"Data and Analytics Department",Developer,"Bachelor's Degree","Computer Science",30,8890.30,10675.90
"Customer Support Department",Executive,"Bachelor's Degree",Engineering,30,8849.80,10674.67
"Finance Department",Developer,"Bachelor's Degree","Information Technology",30,9050.20,10622.97
"Marketing Department",Executive,"Doctoral Degree","Business Administration",30,8941.60,10597.53
"Engineering Department",Manager,Diploma,"Business Administration",30,9315.13,10576.40
"Product Management Department",Assistant,"Master's Degree","Data Analytics",30,8762.50,10570.83
"Customer Support Department",Developer,"Doctoral Degree","Business Administration",30,8778.67,10550.23
"Human Resources Department",Manager,"Bachelor's Degree",Economics,30,8629.77,10347.83
"Customer Support Department",Consultant,"Master's Degree",Engineering,30,8808.60,10293.90
"Operations Department",Assistant,"Bachelor's Degree",Engineering,30,8533.50,10243.03
"Product Management Department",Developer,"Master's Degree","Computer Science",30,8289.37,10142.60
"Marketing Department",Executive,"Bachelor's Degree",Economics,30,8564.83,10142.23
"Data and Analytics Department",Manager,Diploma,"Business Administration",30,8619.07,10093.23
"Engineering Department",Analyst,"Bachelor's Degree",Economics,30,8630.50,10083.13
"Marketing Department",Analyst,Diploma,"Business Administration",30,8237.00,10021.67
"Human Resources Department",Developer,"Bachelor's Degree","Computer Science",30,8292.47,10005.57
"Operations Department",Executive,"Master's Degree",Engineering,30,8361.33,9922.57
"Customer Support Department",Executive,"Master's Degree",Economics,30,8246.87,9836.73
"Product Management Department",Consultant,"Master's Degree",Economics,30,8086.73,9798.43
"Operations Department",Executive,"Bachelor's Degree","Data Analytics",30,8186.97,9628.83
"Product Management Department",Consultant,"Bachelor's Degree","Computer Science",30,8116.07,9625.43
"Engineering Department",Analyst,"Bachelor's Degree","Information Technology",30,7926.03,9516.03
"Operations Department",Assistant,Diploma,"Business Administration",30,7829.17,9379.87
"Product Management Department",Developer,Diploma,"Business Administration",30,8072.10,9321.60
"Operations Department",Analyst,"Doctoral Degree","Business Administration",30,7592.23,9293.20
"Operations Department",Manager,"Master's Degree","Information Technology",29,10179.41,11973.69
"Operations Department",Analyst,"Master's Degree","Computer Science",29,10217.52,11766.52
"Engineering Department",Assistant,"Master's Degree","Computer Science",29,10160.90,11687.07
"Human Resources Department",Analyst,"Master's Degree",Engineering,29,10028.24,11618.28
"Data and Analytics Department",Analyst,"Master's Degree","Information Technology",29,9796.72,11428.03
"Operations Department",Developer,"Bachelor's Degree",Economics,29,9673.00,11389.41
"Engineering Department",Assistant,"Bachelor's Degree","Information Technology",29,9571.93,11229.45
"Operations Department",Developer,"Doctoral Degree","Business Administration",29,9181.76,11044.76
"Customer Support Department",Analyst,Diploma,"Business Administration",29,9213.07,11023.83
"Operations Department",Manager,"Bachelor's Degree","Computer Science",29,9182.24,11023.00
"Product Management Department",Manager,Diploma,"Business Administration",29,9133.24,10916.48
"Product Management Department",Analyst,"Bachelor's Degree",Engineering,29,9416.76,10876.17
"Finance Department",Assistant,"Bachelor's Degree","Computer Science",29,9174.24,10812.38
"Engineering Department",Analyst,"Bachelor's Degree","Computer Science",29,9276.03,10766.07
"Engineering Department",Executive,"Master's Degree","Computer Science",29,9128.17,10756.14
"Finance Department",Analyst,"Master's Degree","Information Technology",29,9195.21,10722.10
"Marketing Department",Consultant,Diploma,"Business Administration",29,9146.45,10707.31
"Human Resources Department",Developer,"Doctoral Degree","Business Administration",29,9057.62,10696.52
"Customer Support Department",Assistant,"Master's Degree",Economics,29,8977.79,10691.45
"Engineering Department",Developer,"Master's Degree",Engineering,29,9139.97,10667.14
"Operations Department",Analyst,"Bachelor's Degree",Economics,29,8730.41,10589.34
"Data and Analytics Department",Consultant,"Bachelor's Degree",Engineering,29,8928.66,10584.83
"Human Resources Department",Developer,"Bachelor's Degree",Engineering,29,9133.76,10535.86
"Operations Department",Developer,"Bachelor's Degree","Data Analytics",29,8991.66,10515.59
"Engineering Department",Analyst,"Bachelor's Degree","Data Analytics",29,8806.38,10410.48
"Customer Support Department",Consultant,"Master's Degree","Computer Science",29,8732.86,10365.14
"Product Management Department",Assistant,"Bachelor's Degree",Economics,29,8613.66,10285.31
"Operations Department",Analyst,"Master's Degree","Data Analytics",29,8658.83,10283.62
"Marketing Department",Executive,"Bachelor's Degree","Data Analytics",29,8669.62,10225.17
"Marketing Department",Consultant,"Master's Degree","Information Technology",29,8444.76,10187.69
"Customer Support Department",Manager,"Bachelor's Degree",Economics,29,8639.90,10161.10
"Customer Support Department",Developer,"Master's Degree","Information Technology",29,8478.38,10124.00
"Engineering Department",Manager,"Bachelor's Degree","Information Technology",29,8386.52,10123.69
"Engineering Department",Assistant,"Bachelor's Degree","Computer Science",29,8613.21,10114.48
"Marketing Department",Developer,Diploma,"Business Administration",29,8474.41,10071.76
"Finance Department",Assistant,"Master's Degree","Data Analytics",29,8411.69,10019.14
"Finance Department",Developer,"Master's Degree","Data Analytics",29,8566.14,9983.62
"Customer Support Department",Assistant,"Bachelor's Degree","Computer Science",29,8289.00,9827.93
"Customer Support Department",Analyst,"Master's Degree","Information Technology",29,8343.72,9766.55
"Customer Support Department",Manager,"Master's Degree","Information Technology",29,8235.93,9678.21
"Engineering Department",Developer,"Master's Degree","Data Analytics",29,8244.79,9673.00
"Engineering Department",Analyst,"Master's Degree",Economics,29,7870.10,9582.21
"Customer Support Department",Analyst,"Bachelor's Degree","Data Analytics",29,7512.45,9287.41
"Marketing Department",Analyst,"Bachelor's Degree",Engineering,29,7464.62,9080.55
"Data and Analytics Department",Developer,"Master's Degree","Data Analytics",29,7249.86,8725.52
"Customer Support Department",Executive,"Bachelor's Degree","Computer Science",29,7037.90,8630.07
"Finance Department",Consultant,"Doctoral Degree","Business Administration",29,7182.10,8541.31
"Data and Analytics Department",Developer,"Bachelor's Degree","Data Analytics",28,10086.25,11829.79
"Customer Support Department",Developer,Diploma,"Business Administration",28,10143.07,11754.11
"Human Resources Department",Manager,Diploma,"Business Administration",28,9998.07,11460.18
"Product Management Department",Assistant,"Master's Degree",Engineering,28,9356.00,11283.86
"Human Resources Department",Analyst,"Master's Degree","Computer Science",28,9267.86,11128.14
"Operations Department",Executive,"Master's Degree",Economics,28,9694.68,11111.93
"Data and Analytics Department",Assistant,"Bachelor's Degree",Economics,28,9289.93,11080.71
"Finance Department",Manager,"Bachelor's Degree","Computer Science",28,9329.68,11008.25
"Human Resources Department",Executive,"Bachelor's Degree",Engineering,28,9213.57,10981.93
"Data and Analytics Department",Manager,"Bachelor's Degree",Economics,28,9337.39,10919.71
"Operations Department",Executive,"Master's Degree","Computer Science",28,9052.18,10755.29
"Customer Support Department",Developer,"Bachelor's Degree",Economics,28,8870.00,10731.82
"Marketing Department",Developer,"Bachelor's Degree","Information Technology",28,8822.11,10661.79
"Product Management Department",Executive,"Bachelor's Degree","Computer Science",28,9122.50,10649.71
"Marketing Department",Consultant,"Master's Degree",Economics,28,9017.36,10577.04
"Engineering Department",Executive,"Master's Degree","Information Technology",28,8845.64,10561.54
"Product Management Department",Assistant,"Bachelor's Degree",Engineering,28,8668.96,10550.18
"Product Management Department",Consultant,"Bachelor's Degree","Data Analytics",28,8972.89,10502.36
"Engineering Department",Executive,"Bachelor's Degree",Economics,28,8572.21,10450.18
"Customer Support Department",Manager,"Master's Degree",Engineering,28,9039.46,10432.39
"Finance Department",Assistant,"Master's Degree",Economics,28,9102.00,10397.46
"Human Resources Department",Assistant,"Bachelor's Degree","Information Technology",28,8986.50,10363.11
"Customer Support Department",Analyst,"Bachelor's Degree","Computer Science",28,9026.50,10354.86
"Operations Department",Executive,"Bachelor's Degree","Information Technology",28,8429.32,10349.71
"Finance Department",Assistant,"Master's Degree",Engineering,28,8931.21,10325.00
"Engineering Department",Consultant,"Master's Degree","Computer Science",28,8840.21,10315.86
"Operations Department",Developer,"Bachelor's Degree","Computer Science",28,8585.18,10249.64
"Marketing Department",Manager,"Master's Degree","Data Analytics",28,8524.29,10118.29
"Operations Department",Analyst,"Bachelor's Degree","Computer Science",28,8186.96,9960.68
"Marketing Department",Analyst,"Bachelor's Degree","Information Technology",28,8535.57,9944.32
"Data and Analytics Department",Consultant,Diploma,"Business Administration",28,8077.46,9814.07
"Engineering Department",Developer,"Bachelor's Degree","Computer Science",28,8324.29,9805.07
"Customer Support Department",Developer,"Bachelor's Degree","Data Analytics",28,8303.21,9680.96
"Customer Support Department",Manager,"Bachelor's Degree","Information Technology",28,7799.11,9428.46
"Finance Department",Executive,"Master's Degree","Data Analytics",28,7353.18,8901.71
"Data and Analytics Department",Manager,"Bachelor's Degree","Computer Science",28,7427.25,8825.96
"Product Management Department",Developer,"Master's Degree",Economics,27,10494.63,12172.33
"Finance Department",Manager,"Doctoral Degree","Business Administration",27,10284.56,12047.30
"Finance Department",Executive,"Bachelor's Degree",Engineering,27,10402.78,11998.07
"Finance Department",Consultant,"Master's Degree",Economics,27,9779.30,11677.44
"Marketing Department",Executive,"Bachelor's Degree","Computer Science",27,10005.30,11576.44
"Finance Department",Assistant,Diploma,"Business Administration",27,9552.11,11278.48
"Marketing Department",Manager,Diploma,"Business Administration",27,9496.78,11203.22
"Engineering Department",Manager,"Bachelor's Degree","Computer Science",27,9450.30,11092.67
"Data and Analytics Department",Assistant,"Bachelor's Degree",Engineering,27,9505.44,11013.04
"Engineering Department",Manager,"Doctoral Degree",Economics,27,9375.00,10987.59
"Human Resources Department",Executive,Diploma,"Business Administration",27,9219.19,10916.15
"Marketing Department",Developer,"Master's Degree","Computer Science",27,9238.00,10869.59
"Human Resources Department",Developer,"Bachelor's Degree",Economics,27,9198.52,10801.26
"Product Management Department",Consultant,Diploma,"Business Administration",27,8892.07,10794.04
"Data and Analytics Department",Executive,"Doctoral Degree","Business Administration",27,9261.93,10701.04
"Finance Department",Analyst,"Master's Degree",Engineering,27,9193.74,10699.89
"Finance Department",Executive,"Master's Degree","Information Technology",27,9012.37,10694.48
"Marketing Department",Analyst,"Bachelor's Degree",Economics,27,8828.74,10691.56
"Engineering Department",Analyst,"Master's Degree",Engineering,27,8701.15,10568.33
"Data and Analytics Department",Analyst,Diploma,"Business Administration",27,8712.67,10496.07
"Product Management Department",Executive,"Master's Degree","Data Analytics",27,8650.56,10491.85
"Finance Department",Analyst,"Master's Degree",Economics,27,8577.81,10381.93
"Operations Department",Assistant,"Master's Degree","Computer Science",27,8475.59,10251.56
"Operations Department",Consultant,"Bachelor's Degree",Engineering,27,8322.19,10132.78
"Engineering Department",Analyst,"Bachelor's Degree",Engineering,27,8521.52,9899.15
"Human Resources Department",Manager,"Master's Degree","Computer Science",27,8279.44,9894.81
"Product Management Department",Assistant,"Master's Degree","Information Technology",27,8194.78,9857.48
"Finance Department",Analyst,"Master's Degree","Computer Science",27,8041.26,9807.37
"Data and Analytics Department",Manager,"Master's Degree",Economics,27,8155.67,9777.85
"Customer Support Department",Executive,"Master's Degree","Computer Science",27,8211.04,9743.67
"Engineering Department",Manager,"Master's Degree",Economics,27,8070.44,9686.41
"Customer Support Department",Consultant,"Bachelor's Degree","Data Analytics",27,8023.41,9627.15
"Data and Analytics Department",Consultant,"Bachelor's Degree","Information Technology",27,8290.22,9482.96
"Finance Department",Consultant,"Bachelor's Degree","Data Analytics",27,7839.44,9435.04
"Human Resources Department",Manager,"Master's Degree","Information Technology",27,7600.04,9298.59
"Finance Department",Developer,"Bachelor's Degree",Engineering,27,7692.96,9228.52
"Engineering Department",Consultant,Diploma,"Business Administration",27,7528.48,8910.85
"Marketing Department",Analyst,"Master's Degree","Computer Science",27,7072.59,8814.81
"Product Management Department",Executive,"Master's Degree","Information Technology",27,7231.78,8776.26
"Product Management Department",Analyst,"Bachelor's Degree","Data Analytics",26,10377.62,12191.27
"Finance Department",Developer,"Bachelor's Degree","Data Analytics",26,10115.54,11741.31
"Operations Department",Developer,"Master's Degree",Economics,26,10055.08,11656.31
"Data and Analytics Department",Manager,"Bachelor's Degree","Data Analytics",26,9927.42,11654.19
"Data and Analytics Department",Executive,"Master's Degree","Data Analytics",26,10136.77,11612.19
"Finance Department",Manager,"Master's Degree","Information Technology",26,9462.92,10993.85
"Marketing Department",Assistant,"Doctoral Degree","Business Administration",26,9445.77,10961.46
"Marketing Department",Manager,"Bachelor's Degree",Economics,26,9319.38,10828.88
"Human Resources Department",Manager,"Master's Degree","Data Analytics",26,9175.23,10812.96
"Data and Analytics Department",Analyst,"Bachelor's Degree",Engineering,26,9126.77,10798.69
"Marketing Department",Analyst,"Master's Degree","Information Technology",26,9314.31,10791.27
"Product Management Department",Developer,"Bachelor's Degree",Economics,26,9167.58,10773.85
"Human Resources Department",Manager,"Bachelor's Degree","Data Analytics",26,9288.65,10763.69
"Operations Department",Manager,"Bachelor's Degree",Economics,26,8932.62,10566.38
"Operations Department",Analyst,"Master's Degree",Engineering,26,8771.08,10451.85
"Human Resources Department",Manager,"Bachelor's Degree",Engineering,26,8824.42,10349.08
"Finance Department",Executive,"Bachelor's Degree","Data Analytics",26,8559.54,10312.27
"Product Management Department",Assistant,Diploma,"Business Administration",26,8828.08,10293.19
"Engineering Department",Assistant,"Master's Degree",Engineering,26,8329.58,10226.00
"Product Management Department",Manager,"Bachelor's Degree","Data Analytics",26,8356.58,10197.69
"Product Management Department",Developer,"Master's Degree","Data Analytics",26,8246.35,10107.27
"Marketing Department",Executive,"Master's Degree","Computer Science",26,8303.88,10084.92
"Customer Support Department",Consultant,Diploma,"Business Administration",26,8366.85,10052.77
"Data and Analytics Department",Analyst,"Master's Degree","Computer Science",26,8340.04,10051.96
"Human Resources Department",Developer,"Master's Degree","Data Analytics",26,8278.85,10000.19
"Engineering Department",Analyst,"Master's Degree","Information Technology",26,8312.81,9984.19
"Human Resources Department",Manager,"Master's Degree",Engineering,26,8187.96,9935.04
"Marketing Department",Manager,"Bachelor's Degree","Information Technology",26,8260.15,9719.31
"Human Resources Department",Analyst,"Bachelor's Degree","Data Analytics",26,7976.15,9581.46
"Customer Support Department",Analyst,"Bachelor's Degree",Engineering,26,7992.65,9558.42
"Finance Department",Executive,Diploma,"Computer Science",26,7724.54,9555.00
"Engineering Department",Assistant,"Doctoral Degree","Business Administration",26,7653.23,9354.58
"Product Management Department",Assistant,"Doctoral Degree","Business Administration",26,7302.73,9071.77
"Engineering Department",Consultant,"Doctoral Degree","Business Administration",25,10256.20,11799.60
"Data and Analytics Department",Assistant,"Master's Degree","Computer Science",25,9859.52,11725.68
"Data and Analytics Department",Consultant,"Doctoral Degree","Business Administration",25,10010.40,11678.88
"Customer Support Department",Manager,"Master's Degree","Computer Science",25,10050.60,11675.60
"Human Resources Department",Assistant,"Master's Degree",Economics,25,9435.16,11178.04
"Operations Department",Analyst,Diploma,"Data Analytics",25,9203.52,10902.76
"Finance Department",Consultant,"Bachelor's Degree","Information Technology",25,9263.64,10870.92
"Data and Analytics Department",Developer,"Bachelor's Degree",Engineering,25,9134.72,10867.56
"Finance Department",Manager,"Bachelor's Degree",Engineering,25,9399.20,10853.24
"Finance Department",Consultant,"Master's Degree","Information Technology",25,9059.92,10815.08
"Human Resources Department",Executive,"Bachelor's Degree","Data Analytics",25,8557.56,10543.84
"Marketing Department",Manager,"Master's Degree",Economics,25,9004.76,10508.80
"Finance Department",Analyst,"Bachelor's Degree","Information Technology",25,8912.56,10473.48
"Human Resources Department",Executive,Diploma,"Information Technology",25,8753.00,10456.76
"Customer Support Department",Consultant,"Bachelor's Degree","Information Technology",25,8675.96,10357.24
"Operations Department",Consultant,"Bachelor's Degree",Economics,25,8864.96,10258.52
"Operations Department",Analyst,"Master's Degree","Information Technology",25,8486.24,10174.24
"Customer Support Department",Consultant,"Master's Degree","Data Analytics",25,8606.12,10167.68
"Data and Analytics Department",Assistant,"Master's Degree","Data Analytics",25,8356.52,10146.88
"Operations Department",Developer,"Master's Degree","Information Technology",25,8319.96,10125.92
"Operations Department",Assistant,"Master's Degree","Data Analytics",25,8603.92,10114.52
"Operations Department",Executive,"Doctoral Degree","Business Administration",25,8171.28,9962.96
"Marketing Department",Executive,"Bachelor's Degree",Engineering,25,8078.84,9934.92
"Customer Support Department",Consultant,"Bachelor's Degree",Engineering,25,8257.76,9753.48
"Product Management Department",Manager,"Bachelor's Degree",Economics,25,8306.92,9734.28
"Product Management Department",Manager,"Master's Degree","Data Analytics",25,8137.52,9717.48
"Engineering Department",Consultant,"Master's Degree","Data Analytics",25,8081.28,9629.76
"Human Resources Department",Assistant,"Bachelor's Degree",Engineering,25,8008.96,9565.76
"Data and Analytics Department",Assistant,"Master's Degree",Economics,25,7996.28,9498.56
"Marketing Department",Analyst,"Doctoral Degree","Business Administration",25,7803.76,9454.08
"Operations Department",Analyst,"Bachelor's Degree","Data Analytics",25,7637.88,9232.12
"Operations Department",Executive,Diploma,Engineering,25,7475.64,9092.20
"Engineering Department",Developer,"Bachelor's Degree","Information Technology",25,7276.20,8815.88
"Finance Department",Developer,"Doctoral Degree","Business Administration",24,9973.00,11581.13
"Operations Department",Executive,"Master's Degree","Data Analytics",24,9479.08,11356.00
"Customer Support Department",Executive,Diploma,"Information Technology",24,9314.17,11263.21
"Engineering Department",Analyst,"Doctoral Degree","Business Administration",24,9575.29,11188.83
"Data and Analytics Department",Assistant,"Master's Degree","Information Technology",24,9335.58,11072.13
"Customer Support Department",Assistant,"Bachelor's Degree",Engineering,24,9357.29,11049.29
"Product Management Department",Developer,"Bachelor's Degree","Computer Science",24,9018.33,10762.58
"Marketing Department",Developer,"Doctoral Degree","Business Administration",24,9135.92,10730.25
"Product Management Department",Manager,"Bachelor's Degree",Engineering,24,9257.58,10514.46
"Engineering Department",Assistant,Diploma,"Business Administration",24,8907.29,10489.58
"Data and Analytics Department",Analyst,Diploma,"Data Analytics",24,8863.79,10456.79
"Engineering Department",Assistant,Diploma,Engineering,24,8773.42,10448.83
"Data and Analytics Department",Assistant,"Doctoral Degree","Business Administration",24,8806.17,10418.00
"Human Resources Department",Executive,"Master's Degree","Data Analytics",24,8429.38,10332.79
"Finance Department",Assistant,"Bachelor's Degree",Engineering,24,8857.04,10318.25
"Operations Department",Consultant,"Doctoral Degree","Business Administration",24,8635.33,10228.63
"Finance Department",Developer,"Bachelor's Degree","Computer Science",24,8559.83,10219.21
"Operations Department",Assistant,"Master's Degree",Economics,24,8311.08,10072.13
"Data and Analytics Department",Manager,"Bachelor's Degree",Engineering,24,8368.50,9960.50
"Product Management Department",Consultant,"Bachelor's Degree",Engineering,24,8007.75,9788.42
"Product Management Department",Executive,"Doctoral Degree","Business Administration",24,7947.92,9625.21
"Product Management Department",Consultant,"Bachelor's Degree",Economics,24,8033.96,9574.54
"Human Resources Department",Assistant,"Bachelor's Degree",Economics,24,7783.42,9399.92
"Human Resources Department",Developer,"Master's Degree",Economics,24,7542.71,9253.38
"Human Resources Department",Consultant,"Master's Degree","Computer Science",24,7162.00,8883.83
"Data and Analytics Department",Consultant,"Master's Degree","Information Technology",24,7376.46,8705.00
"Operations Department",Analyst,"Bachelor's Degree",Engineering,23,10822.52,12551.22
"Product Management Department",Consultant,"Doctoral Degree","Business Administration",23,10331.83,11833.39
"Product Management Department",Analyst,"Master's Degree",Economics,23,9806.83,11311.22
"Engineering Department",Manager,"Bachelor's Degree",Economics,23,9505.91,11307.70
"Operations Department",Manager,"Doctoral Degree","Business Administration",23,9634.30,11205.39
"Data and Analytics Department",Manager,"Bachelor's Degree","Information Technology",23,9241.09,11106.39
"Product Management Department",Developer,"Bachelor's Degree",Engineering,23,9304.04,10989.17
"Human Resources Department",Manager,"Doctoral Degree","Business Administration",23,9290.22,10984.39
"Operations Department",Executive,Diploma,Economics,23,9401.00,10972.70
"Human Resources Department",Analyst,"Bachelor's Degree","Computer Science",23,8968.00,10760.91
"Marketing Department",Executive,Diploma,Engineering,23,9172.65,10686.43
"Data and Analytics Department",Manager,"Doctoral Degree","Business Administration",23,8953.87,10650.52
"Finance Department",Executive,"Doctoral Degree","Business Administration",23,8857.74,10619.13
"Marketing Department",Consultant,"Doctoral Degree","Business Administration",23,8768.83,10573.74
"Customer Support Department",Assistant,"Master's Degree","Computer Science",23,9060.17,10445.87
"Product Management Department",Developer,"Doctoral Degree","Business Administration",23,8628.83,10391.48
"Operations Department",Manager,"Bachelor's Degree",Engineering,23,8625.00,10353.74
"Finance Department",Assistant,"Bachelor's Degree","Data Analytics",23,8607.52,10337.13
"Operations Department",Executive,Diploma,"Data Analytics",23,8676.26,10301.30
"Marketing Department",Assistant,"Bachelor's Degree",Engineering,23,8470.04,10259.22
"Operations Department",Executive,Diploma,"Computer Science",23,8577.48,10224.61
"Operations Department",Manager,"Doctoral Degree",Economics,23,8710.96,10158.74
"Operations Department",Developer,"Bachelor's Degree",Engineering,23,8345.83,10134.70
"Human Resources Department",Analyst,"Bachelor's Degree",Economics,23,8174.65,10027.26
"Engineering Department",Assistant,"Master's Degree",Economics,23,8014.70,9925.91
"Engineering Department",Executive,"Master's Degree",Economics,23,8291.74,9882.52
"Customer Support Department",Executive,Diploma,"Business Administration",23,8128.43,9812.87
"Customer Support Department",Analyst,Diploma,Engineering,23,7932.30,9668.00
"Finance Department",Analyst,"Doctoral Degree","Business Administration",23,7748.35,9369.43
"Marketing Department",Assistant,"Bachelor's Degree",Economics,23,7675.65,9257.91
"Customer Support Department",Consultant,"Doctoral Degree","Business Administration",22,10737.14,12458.27
"Engineering Department",Consultant,Diploma,"Information Technology",22,10436.41,12209.64
"Operations Department",Analyst,"Doctoral Degree","Information Technology",22,10017.86,11737.14
"Customer Support Department",Manager,"Bachelor's Degree","Computer Science",22,9678.32,11543.14
"Human Resources Department",Consultant,Diploma,"Computer Science",22,9264.05,10880.68
"Finance Department",Consultant,Diploma,"Data Analytics",22,9503.50,10864.50
"Operations Department",Assistant,"Doctoral Degree","Business Administration",22,9257.86,10844.32
"Data and Analytics Department",Developer,"Doctoral Degree","Computer Science",22,8859.18,10688.86
"Operations Department",Manager,"Master's Degree",Economics,22,8952.77,10441.00
"Operations Department",Consultant,"Bachelor's Degree","Information Technology",22,9037.64,10403.68
"Operations Department",Executive,"Bachelor's Degree","Computer Science",22,8703.45,10394.73
"Operations Department",Manager,Diploma,"Information Technology",22,8304.23,10033.50
"Finance Department",Analyst,"Bachelor's Degree",Economics,22,8186.82,9921.73
"Operations Department",Developer,Diploma,Economics,22,8115.27,9779.95
"Engineering Department",Assistant,"Bachelor's Degree",Engineering,22,8239.73,9737.77
"Finance Department",Developer,Diploma,Engineering,22,7776.00,9637.59
"Engineering Department",Consultant,"Master's Degree","Information Technology",22,7993.68,9598.05
"Finance Department",Assistant,"Bachelor's Degree","Information Technology",22,7691.68,9425.32
"Customer Support Department",Developer,Diploma,Economics,21,9797.38,11585.14
"Operations Department",Assistant,Diploma,"Information Technology",21,9712.48,11393.67
"Operations Department",Analyst,Diploma,"Computer Science",21,9685.86,11283.48
"Marketing Department",Analyst,"Doctoral Degree","Information Technology",21,9621.38,11203.29
"Data and Analytics Department",Analyst,"Doctoral Degree","Data Analytics",21,9605.43,11156.57
"Marketing Department",Assistant,"Doctoral Degree","Computer Science",21,9350.29,11017.43
"Engineering Department",Consultant,"Bachelor's Degree",Engineering,21,9178.38,10949.14
"Engineering Department",Developer,Diploma,Engineering,21,9135.00,10905.48
"Operations Department",Consultant,"Master's Degree",Engineering,21,9166.05,10849.57
"Operations Department",Assistant,"Bachelor's Degree","Data Analytics",21,8951.05,10658.62
"Marketing Department",Executive,Diploma,"Information Technology",21,8779.81,10570.62
"Marketing Department",Developer,"Master's Degree",Engineering,21,8852.86,10486.29
"Operations Department",Executive,"Bachelor's Degree",Economics,21,8622.81,10440.81
"Customer Support Department",Manager,"Master's Degree","Data Analytics",21,8386.86,10011.19
"Finance Department",Consultant,"Bachelor's Degree",Engineering,21,8258.67,9927.00
"Data and Analytics Department",Developer,"Doctoral Degree","Information Technology",21,8018.76,9637.00
"Engineering Department",Executive,"Doctoral Degree","Business Administration",21,7985.19,9575.90
"Marketing Department",Developer,"Bachelor's Degree",Engineering,21,7724.10,9290.95
"Data and Analytics Department",Analyst,"Bachelor's Degree","Computer Science",21,7454.19,9254.00
"Human Resources Department",Manager,"Master's Degree",Economics,21,7840.90,9127.57
"Engineering Department",Executive,"Bachelor's Degree",Engineering,20,10528.80,12442.00
"Engineering Department",Consultant,"Bachelor's Degree","Data Analytics",20,10340.85,12201.90
"Customer Support Department",Manager,"Bachelor's Degree",Engineering,20,9837.15,11703.15
"Marketing Department",Developer,"Bachelor's Degree","Computer Science",20,9763.60,11652.60
"Product Management Department",Consultant,"Doctoral Degree","Computer Science",20,9855.00,11499.10
"Human Resources Department",Assistant,"Master's Degree","Information Technology",20,9639.60,11482.65
"Engineering Department",Executive,"Master's Degree","Data Analytics",20,9695.95,11397.95
"Engineering Department",Executive,Diploma,Economics,20,9532.75,11084.25
"Customer Support Department",Consultant,Diploma,Economics,20,9132.20,10878.80
"Data and Analytics Department",Developer,"Doctoral Degree","Business Administration",20,8986.85,10687.40
"Finance Department",Executive,Diploma,"Information Technology",20,8999.20,10661.95
"Engineering Department",Manager,"Bachelor's Degree",Engineering,20,8807.20,10507.60
"Human Resources Department",Assistant,"Doctoral Degree",Engineering,20,8555.85,10133.55
"Product Management Department",Analyst,"Doctoral Degree","Information Technology",20,8493.15,10013.60
"Customer Support Department",Assistant,Diploma,"Data Analytics",20,8042.85,9873.50
"Product Management Department",Assistant,"Bachelor's Degree","Information Technology",20,8009.55,9856.45
"Customer Support Department",Analyst,"Doctoral Degree","Business Administration",20,8190.35,9814.30
"Data and Analytics Department",Developer,"Bachelor's Degree","Information Technology",20,8236.25,9797.65
"Engineering Department",Analyst,"Doctoral Degree",Economics,20,8143.70,9768.90
"Engineering Department",Developer,"Doctoral Degree",Engineering,20,8154.05,9699.90
"Marketing Department",Assistant,"Bachelor's Degree","Data Analytics",20,7820.35,9590.55
"Marketing Department",Assistant,Diploma,"Data Analytics",20,7644.85,9220.40
"Data and Analytics Department",Assistant,"Doctoral Degree","Data Analytics",20,7684.95,8784.70
"Data and Analytics Department",Executive,"Doctoral Degree","Computer Science",19,10174.89,11981.95
"Human Resources Department",Analyst,Diploma,Economics,19,10039.58,11669.11
"Engineering Department",Developer,"Doctoral Degree","Business Administration",19,9880.05,11626.11
